ID Sitio X Y Excavacion capa/estrato tumba Tipo_de_entierro Episodios_multiples Edad Sexo Posicion_anatomica Orientacion Pintura/Ocre Desarticulacion_osea Restos_humanos_aislados Objetos_asociados Numero_de_objetos_asociados Presencia_fauna Numero_total Num_venado Num_cuy Num_liticos Acumulaciones_de_arenisca Presencia_de_Carbon Soportes_de_piedra Estructura_de_madera Tipo_de_tumba
IND1 Checua 1.344070169 0.787405187 Ospina Oc3 C1 Entierro_primario 0 Adulto Femenino Decubito_lateral_izquierdo Occidente 0 1 0 1 30 1 7 6 1 7 1 1 1 0 Oval
IND2 Checua 1.217248127 0.409917984 Ospina Oc3 C3 Entierro_primario 0 Adulto Femenino Decubito_ventrolateral_derecho NA 0 0 0 1 7 1 1544 0 1 5 1 1 1 0 Oval
IND3 Checua 1.074545404 0.327429524 Ospina Oc3 C3 Entierro_primario 1 Adulto Masculino Decubito_dorsal Occidente 1 0 0 1 6 1 1544 0 0 4 1 1 1 0 Oval
IND4 Checua 0.971115619 0.390339261 Ospina Oc3 C3 Entierro_primario 0 Subadulto Masculino Decubito_lateral_derecho NA 1 0 0 1 6 1 1544 1 NA 1 1 1 1 0 Oval
IND5 Checua 0.1169627 1.139589792 Ospina Oc3 C13 Entierro_primario 1 Adulto Masculino Decubito_lateral_izquierdo Oriente 0 1 0 1 27 1 3 0 2 11 1 1 1 0 Circular
IND6 Checua 0.225115304 0.637007167 Ospina Oc3 C11 Entierro_primario 1 Adulto Femenino Decubito_lateral_izquierdo NA 0 1 1 1 25 1 3123 5 1 6 1 1 0 0 Oval
IND7 Checua 1.158776706 -0.083922107 Ospina Oc3 C4 Entierro_primario 0 Adulto Femenino Decubito_ventral NA 1 0 0 1 17 1 1325 NA NA 7 1 1 1 0 Circular
IND8 Checua 0.798821616 0.761929845 Ospina Oc3 C2 Entierro_primario 0 Neonato Masculino Decubito_lateral_derecho NA 0 0 0 1 8 1 7 2 4 5 1 1 0 0 Oval
IND9 Checua 0.210433568 0.161342843 Ospina Oc3 C7 Entierro_primario 0 Adulto Femenino Decubito_lateral_derecho Oriente 1 0 0 1 14 1 3123 0 0 11 1 1 0 0 Oval
IND10 Checua 1.454767472 0.49177778 Ospina Oc2 C15 Entierro_primario 0 Adulto Femenino Decubito_lateral_derecho Occidente 1 0 0 1 27 1 20 10 10 22 1 1 1 1 Oval
IND11 Checua 0.912795528 1.235266744 Ospina Oc2 C17 Entierro_primario 0 Subadulto Masculino Decubito_lateral_izquierdo Oriente 1 0 0 1 7 1 7 3 4 1 1 1 1 1 Circular
IND12 Checua 1.712242613 1.027594656 Ospina Oc2 C16 Entierro_primario 0 Subadulto Femenino Decubito_lateral_izquierdo Oriente 1 0 0 1 5 1 5 0 5 1 1 1 0 1 Oval
IND13 Checua 1.928030294 -0.059886909 Ospina Oc2 C14 Entierro_primario 1 Adulto NA Decubito_dorsal Norte 1 1 0 1 9 1 6 2 4 3 1 1 0 1 Oval
